,zipcode,num_felony,num_violation,num_misdemeanor,most_freq_ofns_desc,most_freq_loc_occur,most_freq_prem_type,most_freq_susp_age_group,most_freq_susp_race,most_freq_susp_sex,most_freq_vic_age_group,most_freq_vic_race,most_freq_vic_sex,pop_est,num_total_crimes
39,10069,77,51,58,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,WHITE,M,5085.0,186
40,10075,293,91,548,PETIT LARCENY,INSIDE,DRUG STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,23140.0,932
41,10128,881,296,1858,PETIT LARCENY,INSIDE,CHAIN STORE,25-44,BLACK,M,UNKNOWN,UNKNOWN,D,59256.0,3035
42,10280,83,31,134,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,9384.0,248
43,10282,45,16,89,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,WHITE,M,UNKNOWN,UNKNOWN,D,5593.0,150
44,10301,875,664,1712,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,38733.0,3251
45,10302,343,290,804,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,UNKNOWN,F,18204.0,1437
46,10303,497,442,952,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,25-44,BLACK,M,25-44,BLACK,F,25947.0,1891
47,10304,820,704,1528,HARRASSMENT 2,INSIDE,STREET,25-44,BLACK,M,25-44,BLACK,F,41064.0,3052
48,10305,478,377,959,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,42298.0,1814
49,10306,581,460,1313,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,53142.0,2354
50,10307,128,86,215,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,WHITE,M,45-64,WHITE,F,15232.0,429
51,10308,161,179,307,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,WHITE,M,25-44,WHITE,F,30186.0,647
52,10309,328,234,608,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,WHITE,M,25-44,WHITE,F,33531.0,1170
53,10310,383,308,701,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,23262.0,1392
54,10312,380,298,716,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,WHITE,M,25-44,WHITE,F,61741.0,1394
55,10314,934,708,2022,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,WHITE,M,25-44,WHITE,F,90761.0,3664
56,10451,2215,919,3253,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,47798.0,6387
57,10452,2336,983,3127,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,76078.0,6446
58,10453,1693,1099,2814,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,UNKNOWN,F,79606.0,5606
59,10454,1528,682,2226,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,UNKNOWN,F,38203.0,4436
60,10455,1902,792,2901,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,F,42283.0,5595
61,10456,2586,1367,3085,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,94218.0,7038
62,10457,2244,1158,3552,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,74554.0,6954
63,10458,2128,932,4037,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,25-44,BLACK,M,UNKNOWN,UNKNOWN,F,83960.0,7097
64,10459,1684,1004,2409,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,48351.0,5097
65,10460,2045,1111,2710,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,59505.0,5866
66,10461,1111,565,1641,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,F,50348.0,3317
67,10462,1577,695,1902,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,WHITE HISPANIC,F,76756.0,4174
68,10463,1475,732,2666,PETIT LARCENY,INSIDE,STREET,25-44,BLACK,M,UNKNOWN,UNKNOWN,F,71360.0,4873
69,10464,83,36,82,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,F,4434.0,201
70,10465,669,412,1227,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,F,44205.0,2308
71,10466,1523,1000,2250,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,72479.0,4773
72,10467,2372,1343,3104,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,25-44,BLACK,M,25-44,BLACK,F,103732.0,6819
73,10468,1608,689,2176,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,F,78647.0,4473
74,10469,1281,758,1892,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,73870.0,3931
75,10470,453,221,512,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,BLACK,F,15432.0,1186
76,10471,362,144,356,GRAND LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,21896.0,862
77,10472,1917,895,2310,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,WHITE HISPANIC,F,68796.0,5122
78,10473,1629,876,2297,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,WHITE HISPANIC,F,59609.0,4802
79,10474,918,314,930,HARRASSMENT 2,INSIDE,STREET,25-44,BLACK,M,25-44,UNKNOWN,M,12127.0,2162
80,10475,598,292,881,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,43208.0,1771
81,11004,148,104,211,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,F,19216.0,463
82,11101,1614,882,2569,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,M,30043.0,5065
83,11102,511,307,710,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,F,30800.0,1528
84,11103,727,340,1390,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,M,36140.0,2457
85,11104,271,189,452,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,M,26119.0,912
86,11105,449,283,740,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,37382.0,1472
87,11106,609,372,1173,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,F,38363.0,2154
88,11109,40,27,40,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,25-44,UNKNOWN,M,25-44,WHITE,F,5981.0,107
89,11201,1716,890,3405,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,62823.0,6011
