Unnamed: 0,index,zipcode,num_felony,num_violation,num_misdemeanor,most_freq_ofns_desc,most_freq_loc_occur,most_freq_prem_type,most_freq_susp_age_group,most_freq_susp_race,most_freq_susp_sex,most_freq_vic_age_group,most_freq_vic_race,most_freq_vic_sex,num_total_crimes,median_income,unemployment_rate,num_stopandfrisk,num_police_station,num_restroom,crime_severity
0,0,10001.0,2918,734,3677,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,7329,106509.0,4.3,92,1,8,3
1,1,10002.0,2278,1024,4381,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,M,7683,43362.0,7.6,109,1,16,3
2,2,10003.0,1865,453,3066,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,5384,152863.0,4.7,82,2,5,2
3,3,10004.0,143,70,229,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,M,442,232543.0,0.4,7,1,3,1
4,4,10005.0,219,76,963,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,1258,189886.0,3.4,7,0,0,1
5,5,10006.0,161,42,485,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,688,204574.0,4.5,5,0,0,1
6,6,10007.0,353,122,1546,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,2021,250000.0,2.2,5,0,0,1
7,7,10009.0,1402,571,2354,PETIT LARCENY,INSIDE,RESIDENCE - PUBLIC HOUSING,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,F,4327,83344.0,4.8,88,1,1,2
8,8,10010.0,674,237,1075,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,M,1986,150288.0,2.3,38,3,1,2
9,9,10011.0,1657,501,2220,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,M,4378,145934.0,4.5,65,1,6,2
10,10,10012.0,1330,249,1697,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,3276,126890.0,5.1,68,0,0,2
11,11,10013.0,1184,279,1689,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,M,3152,150675.0,4.4,46,3,2,2
12,12,10014.0,1383,304,1665,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,3352,147267.0,7.6,52,1,5,2
13,13,10016.0,1276,441,1775,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,3492,145864.0,4.1,35,0,0,1
14,14,10017.0,794,287,1476,PETIT LARCENY,INSIDE,CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,2557,139964.0,4.9,36,0,0,1
15,15,10018.0,1487,273,1693,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,M,3453,149118.0,4.9,35,1,2,2
