,zipcode,num_felony,num_violation,num_misdemeanor,most_freq_ofns_desc,most_freq_loc_occur,most_freq_prem_type,most_freq_susp_age_group,most_freq_susp_race,most_freq_susp_sex,most_freq_vic_age_group,most_freq_vic_race,most_freq_vic_sex,num_total_crimes
100,11213,1603,1050,2267,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,4920
101,11214,1035,628,1904,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,3567
102,11215,843,367,1201,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,WHITE,F,2411
103,11216,1357,664,1812,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,3833
104,11217,1190,597,2033,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,M,3820
105,11218,646,310,965,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,1921
106,11219,899,346,1335,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,2580
107,11220,1806,478,2296,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,4580
108,11221,2083,1070,2643,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,5796
109,11222,919,438,1044,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,2401
110,11223,939,444,1651,PETIT LARCENY,INSIDE,STREET,UNKNOWN,WHITE,M,25-44,WHITE,F,3034
111,11224,1254,668,1904,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,3826
112,11225,1105,812,1763,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,3680
113,11226,2015,1085,2731,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,5831
114,11228,371,165,664,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,1200
115,11229,1083,411,1508,PETIT LARCENY,INSIDE,STREET,UNKNOWN,WHITE,M,25-44,WHITE,F,3002
116,11230,844,378,1151,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,2373
117,11231,651,263,939,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,WHITE,F,1853
118,11232,631,229,859,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,M,1719
119,11233,2104,1301,2944,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,6349
120,11234,1377,725,2139,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,UNKNOWN,BLACK,F,4241
121,11235,1338,504,1658,PETIT LARCENY,INSIDE,STREET,UNKNOWN,WHITE,M,25-44,WHITE,M,3500
122,11236,1682,1037,2338,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,5057
123,11237,1398,464,1723,PETIT LARCENY,INSIDE,STREET,(null),(null),M,25-44,WHITE HISPANIC,M,3585
124,11238,859,472,1283,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,2614
125,11239,196,87,282,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,(null),(null),(null),25-44,BLACK,F,565
126,11354,1460,432,2254,PETIT LARCENY,INSIDE,STREET,(null),(null),M,UNKNOWN,UNKNOWN,F,4146
127,11355,1161,402,1174,PETIT LARCENY,INSIDE,STREET,(null),(null),M,25-44,ASIAN / PACIFIC ISLANDER,M,2737
128,11356,421,231,775,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,(null),M,UNKNOWN,UNKNOWN,F,1427
129,11357,437,176,539,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,1152
130,11358,487,179,442,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,(null),(null),M,45-64,ASIAN / PACIFIC ISLANDER,M,1108
